Codigo;descricao
1103059;Tampa fixa cinza C/ Esfregador 
1103078;Knob branco Sluxo
1924002;Manual p/ Ferro Vapor Paris FR0521-22BR
1101706;Painel frontal SALFER POLARIS 80 BR tampografado 
1101722;Kit instalação Depurador  VEGA 50HZ
1101745;Monobloco 80cm BG silkado Novo Legitimo Biturbo 
1101764;Tampa filtrante 60cm Estampada Star Light / NV Leg
1101789;Monobloco 80cm Star Light BR pintado 
1101805;Embalagens e acessórios Dep. 60cm - 2006
1101811;Kit instalação Dep. Novo Legitimo Biturbo
1101814;Blank  monobloco Dep. SG/NL 60cm
1101818;Painel frontal SENSE 60 BR 
1101828;Depurador Suggar SENSE 60cm BM 127V C/Lum.
1101858;Tampa filtrante 80cm BR Dep. Sirius/Titan
1101860;Monobloco Dep. Sirius 60cm Silkado 
1101708;Produtos quimicos BR 
51521945;Retentor Para Baixa Pressão  Código T02438
1101859;Tampa filtrante 80cm estampada Dep. Sirius/Titan
1101718;Kit instalação Depurador ANTARES 50HZ
1101719;Kit instalação Depurador BITURBO 50HZ
1101747;Monobloco  60cm BG pintado Novo Legitimo Biturbo 
1101760;Tampa filtrante  60cm BR Star Light / NV Leg. BI T
1101799;Dep.  80CM BR Star Light  2 Vel. 127V
1101812;Embalagens e acessórios Dep.60cm Novo Legitimo Bit
1101820;Painel frontal SENSE 80 BR 
1101861;Monobloco Dep. Sirius 80cm Silkado 
2109005;"""Capilar 0.031 """""""
4801007;Manta filtrante de carvao ativado 90cm
4801009;Lente da luminaria - Buld cover
4801027;Tampao da saida de ar - Air our let cover
1101702;Depurador Salfer Polaris 60cm BR 220V
1101704;Depurador Salfer Polaris 80cm BR 220V
1101726;Dep.Tokyo Coral Plus 60CM BR 3 Vel. 220V   50HZ C/
1101746;Monobloco  60cm BR pintado Novo Legitimo Biturbo 
1101714;Embalagens e acessórios Dep. BI TURBO 80cm 50HZ
1101717;Embalagens e acessorios Dep. ANTARES 60cm  50HZ
1101743;Monobloco 60cm BG silkado Novo Legitimo Biturbo 
1101753;Monobloco 80cm  estampado Novo Legitimo Biturbo 
1101763;Tampa filtrante  80cm BG Star Light / NV Leg. BI T
1101790;Monobloco 80cm Star Light BG pintado 
1101801;Dep.  80CM BG Star Light 2 Vel. 127V
1903018;Manual Instrucao  Lav.DAKO 
1904005;Manual Instr.termo garantia Forno FE1C Easy Clean
1924003;Manual p/ Ferro eletrico Roma FR1221-22BR
2109007;Condensador Adega  39G
1101729;Refil de carvao ativado Ø 87mm 
1101778;Depurador Suggar Legitimo Bi Turbo 60cm BG 220V
1101823;Painel frontal SENSE 60 BM tampografado 
1101832;Depurador Suggar SENSE 80cm BM 127V C/Lum.
1101845;DEPURADOR SUGGAR SIRIUS 60CM 220V BR
1101855;DEPURADOR SUGGAR SIRIUS 80CM 127V BR
1103335;Tampa movel AZ Lav. Lavamatic
1103337;Lav Suggar Lavamatic Plus C/Esfr TP AZ 220 montada
1103340;Cuba Turbilhao AZ escuro
1103344;Tampa fixa  VD 
1103357;Grade AZ da Lav. Top
1103372;Lavadora DAKO 127V
1103381;Emb. e impressos Lav.MK TECH TOP 4.3
1103328;Lav. Predileta Super AZ 220V montada
1103348;Lavadora Lavamatic Hexa Super AM 127V montada
1103359;Lav Suggar Lavamatic Plus C/Esfr  AZ e TP BR 220V
1103364;Base VD Lavadora TOP
1103379;LAVADORA MK TECH TOP 4.3 BR 127V
1103382;KIT Suporte batedor completo Lav. Lavamatic Super
1104025;Conj. tampa inf. FE (NV)
2205013;Espalhador Rapido  # 4,00mm
4801006;Manta filtrante de carvao ativado 60cm
4801011;Suporte do motor - Motor support
4801014;Motor 220 V
4801015;Turbina - Vane
1103299;Embalagens e impressos Lav Favorita Exportacao
1103312;Grade BR da Lav. Top
1103358;Lav Suggar Lavamatic Plus C/Esfr  AZ e TP BR 127V
1103362;Tampa movel da lavadora TOP. AZ
1103365;Visor verde DAKO
1103374;Dispenser verde  DAKO
1103376;Torre Cata Fiapo  Favorita
1103378;Sifão em  L Ø 10mm Verde
1103391;Mistura A FUME 
1103402;Lavadora VIVA MAX 6.0 kg  220V
2205008;*Espalhador Semi Rapido SABAF
2205018;Fundo da Mesa Fogao Cook Top 4Q.montado
1103394;Cuba BR Lavadora TOP MAX 5.0
1103409;Cuba BR.VIVA
1104017;Conj. mod. int. Forno a gas easy clean
1155043;Placa promocional depurador dobrada 
1155058;Quadro d/ bandeja do expos.p/ fogao Cook Top 4 que
1155065;Bandeja pintada do expos.p/ fogao Cook Top 5 queim
1155068;Quadro d/ band.d/expos.p/ fog. Cook Top 4/5 queim.
1155081;Quadro Superior pintado do expositor 9995BR/PT p/ Coifa
4801003;Trava deslizante - Sliding clip
4801020;Caracol - Plastic motor blower
4801023;Porca da Torre Dep. Orion
4801032;Controle - Switch control
51521386;"Raspador D Molythane D-02000 2"" x 2.3/8 x3/16 x 3/8"
4806080;Junta de borracha do caracol
4806081;Cobertura do complemento do monobloco
4806082;Transformador 570/12V/50W - Transformet
4806083;Parafuso ST 3 X 6mm
4806084;Parafuso M4 X12 ph inox- Cross round bolt
4806085;Junta de boracha Ø 10mm - Flat rubber gasket
4806086;Prensa Cabo - Wire fastener
4806087;Parafuso M 4 X 16 ph - Cross bolt
4806088;Parafuso cab.flan/ph  M-4 X 8
4806089;Caixa de conexao superior
1101761;Tampa filtrante  60cm BG Star Light / NV Leg. BI T
1101773;Monobloco Legitimo Bi turbo 80cm BR silkado 
1101834;Embalagens e acessórios Dep. SENSE 60cm
1101709;Dep. Tokyo Coral Plus 80CM  BR 3 Vel. 220V   50HZ
1101720;Embalagens e acessorios Dep. VEGA 80cm  50HZ
1101725;Embalagens e acessórios Dep.Tokyo Coral Plus  60CM
1101741;Dep.  80CM BG Novo Legitimo Biturbo 220V
1101770;Caracol esquerdo Sirius/Titan
1101771;Monobloco Legitimo Bi turbo 60cm BR silkado 
1101784;Monobloco 60cm Star Light BG silkado 
1101800;Dep.  80CM BR Star Light 2 Vel. 220V
2205011;Queimador Semi Rapido PYRAL GALSI ( c/aba) 
4801030;Botao maior do painel
4801034;Vidro defletor 60cm
4804052;Knob BR do timer FE42L - Timer konb white HK-42
1101701;Embalagem e acessórios Dep. Polares 80cm EXP
1101731;Monobloco coifa 60cm inox silkado 
1101841;Tampa filtrante 60cm BR Dep. Sirius/Titan
1102040;Suporte fixacao Secadora BR
1102048;Tampa traseira Secadora 50 x 50 dobrada  Nacional
1102052;Secadora montada 220V - 50HZ ( Exportacao Chile )
1102054;Sub. conj. motor Sec 220V - 50HZ
1102055;Embalagens e acessorios Sec. 50X50 exportacao - 22
1101865;Articulacao movel Dir. Dep. Titan
1903011;Relação assistente tecnico SALFER SUPER 
2205005;*Queimador Semi Rapido SABAF
2209002;Revestimento Interno em PSAI da Adega 19G
2209005;Revestimento Interno da Adega 39G
1101703;Depurador Salfer Polaris 80cm BR 127V
1101713;Depurador Suggar Bi Turbo 80cm BR 220V 50HZ
1101727;Produtos quimicos BG 
1101806;Embalagens e acessórios Dep. 80cm Star Light
1101813;Kit Filtro de Carvao Suggar
1101833;Depurador Suggar SENSE 80cm BM 220V C/Lum.
1101837;Canaleta da cabeacao SENSE
1901012;Manual Instr. termo garantia Dep. SALFER POLARIS 
1901023;Gabarito fixacao Dep. Vega/Antares Exp.( Espanhol
1902005;Manual Instrucao Secadora Exp.Tokyo 
1903008;Relacao assistente tecnico Lav.  MK Tech Super 
0403004;Cabeacao Luxo exportacao
0403010;Cabeacao Lavadora Lavamax
0403012;Cabeacao Lavadora Favorita
1101755;Lateral dir. Dep. Sirius/Jupiter
1101762;Tampa filtrante  80cm BR Star Light / NV Leg. BI T
1101774;Monobloco Legitimo Bi turbo 80cm BM silkado 
1101775;Depurador Suggar Legitimo Bi Turbo 60cm BR 127V
1101781;Depurador Suggar Legitimo Bi Turbo 80cm BG 127V
1101794;Monobloco 80cm Star Light estampado 
1101795;Dep.  60CM BR Star Light 2 Vel. 127V
1904003;Manual Instr. termo garantia Forno Eletrico Tokyo
1955003;Instrucao de uso expositor secadora
4801033;Caixa de comando - Switch box
1101849;Monobloco Dep.Sirius/Titan 60cm estampado 
1101867;Suporte da articulacao movel Dir. Jupiter/Venus PR
1903009;Manual Instr. termo garantia Lav. MK Tech Super 
2205012;Queimador Auxiliar PYRAL GALSI (c/aba) 
2205019;Fundo da Mesa Fogao Cook Top 5Q.montado
1101711;Kit instalação Tokyo Coral Plus 60/80CM 3 Vel.
1809003;Pacote Vidro duplo p/ Adega 39G
1901010;Manual Instr. termo garantia Dep. COOK BITURBO 
1901027;Manual Instrucao Dep. Novo Legitimo Biturbo 
1903001;Manual Instr. termo garantia Tanq.Turbilhão 
0404003;Cabeacao FE Easy Clean s/ lampada
0501005;Interruptor (14223 MAMT1ANE35) CZ
0909014;Calco de PUR para Adega 39G
0916001;Cordao de Borracha 2.5mm
1003010;Vinil BCO 72080F01 B125D87 (000.102-2) 
1003034;Etiqueta Inmetro Lav. Favorita 127V
1101868;Suporte da articulacao movel Esq. Jupiter/Venus PR
1003042;Etiqueta Inmetro Lav. MK Tech 127V
1101742;Monobloco 60cm BR silkado Novo Legitimo Biturbo 
1101765;Tampa filtrante 80cm Estampada Star Light / NV Leg
1101779;Depurador Suggar Legitimo Bi Turbo 80cm BR 127V
1101783;Monobloco 60cm Star Light BR silkado 
1101815;Blank  monobloco Dep. SG/NL 80cm
1101821;Painel frontal SENSE 80 BM 
1101846;Kit instalação Dep. Sirius/Titan
1101856;DEPURADOR SUGGAR SIRIUS 80CM 220V BR
1103406;Dispenser Cata fiapo lavadora TOP 5.0 AZ ( Nao uti
2209018;Suporte de fixacao do termostato - PT 
1101728;Filtro de carvao injetado Depurador
1101740;Dep.  80CM BG Novo Legitimo Biturbo 127V
1101744;Monobloco 80cm BR silkado Novo Legitimo Biturbo 
1101752;Monobloco 60cm  estampado Novo Legitimo Biturbo 
1101754;Lateral esq. Dep. Sirius/Jupiter
1101796;Dep.  60CM BR Star Light 2 Vel. 220V
1101797;Dep.  60CM BG Star Light 2 Vel. 127V
1101808;Sub. conjunto do Motor 220V  2 vel. 50HZ Dep. Star
2109004;Fluido R134a
2109008;Evaporador da Adega 39G
2205001;*Camara de mistura Rapida SABAF
2205003;*Camara de mistura Auxiliar SABAF
1101786;Monobloco 80cm Star Light BG silkado 
1101791;Monobloco 60cm Star Light dobrado 
1904004;Manual Instr. termo garantia Forno FE1C Easy Clean
2205004;*Queimador Rapido SABAF
2205016;Manipulo PT Ø45mm 
4801018;Lampada - Bulb 220V
1101715;Embalagens e acessorios Dep. ANTARES 80cm 50HZ
1101716;Embalagens e acessórios Dep. BI TURBO 60cm 50HZ
1101750;Monobloco 60cm dobrado Novo Legitimo Biturbo 
1101759;Conj. tampa filtrante 80cm BG Star Light / NV Leg.
1101768;Sub-conj. motor 220V 1 vel. Novo Legitimo Biturbo 
1101788;Monobloco 60cm Star Light BG pintado 
1101798;Dep.  60CM BG Star Light 2 Vel.  220V
1101803;Sub-conj. motor 127V  2 Vel. Star Light 
1101804;Sub-conj. motor 220V 2 vel. Star Light. 
1905001;Manual Instrucao  Fogao Cook Top
2205009;*Espalhador Auxiliar SABAF
2205014;Espalhador Semi Rapido  # 4,00mm
1101707;Depurador Suggar Bi Turbo 60cm BR 220V 50HZ
1101735;Dep.  60CM BR Novo Legitimo Biturbo  220V
1101736;Dep.  60CM BG Novo Legitimo Biturbo 127V
1101749;Monobloco  80cm BG pintado Novo Legitimo Biturbo 
1101767;Sub-conj. motor 127V 1 vel. Novo Legitimo Biturbo 
1101792;Monobloco 80cm Star Light dobrado 
1101793;Monobloco 60cm Star Light estampado 
1903015;Manual Instrucao Lav. Lavamax Exportacao (Espanhol
1904006;Manual Instrucao  Forno Eletrico Exportacao ( Espa
1955001;Instrucao de uso expositor depurador
2109006;Filtro Secador
2109009;Tubo Esponjoso 9x6mm 
1101757;Conj. tampa filtrante 60cm BG Star Light / NV Leg.
1403062;Polipropileno Copolimero EP 448R PL14
1501029;Calco painel VEGA 60 EPS Shrink
1501046;Caixa Manta filtrante com logomarca
1501051;Caixa Dep. Exportacao Antares 60cm
1501053;Caixa Dep. Sirius/Titan 60cm
1501054;Caixa Dep. Sirius/Titan 80cm
1903020;Manual Instrucao  Lav. VIVA 6.0 kg 
1101175;Painel 80 curvo MB 
1101176;Painel 80 reto BM 
1101252;Caracol esquerdo Polaris/Antares
1916001;Relacao assistente tecnico 
4806069;Coletor de oleo - Oil collector
4806070;Caracol - Motor Housing
4806071;Motor127V
4806072;Turbina - blade
4806073;Manipulo M6 - Handy fasten nut
4806074;Disco de protecao - protrctive shield
4806075;Filtro do caracol - Charcoal filter
4806076;Junta de borracha Ø12mm - Flat rubber gasket
4806077;Parafuso M5 X12 ph - Cross discal bolt
4806078;Mola tarva  Ø 5mm - Spring washer
4806079;Junta de boracha Ø 5mm - Flat rubber gasket
0909009;Isolamento Base da Caixa Adega 39G 509 x 327 x 20m
1001008;Etiqueta rigida CS fundo mb/silk prata
1001011;Logotipo rigido NV fundo mb/silk prata 
1101168;Painel 60 curvo BR 
1101180;Painel CS 60 BR 
1101850;Monobloco Dep.Sirius/Titan 60cm dobrado 
1101857;Conj.Tampa Filtrante 80cm Dep. Sirius/Titan branca
1101866;Articulacao movel Esq. Dep. Titan
1101785;Monobloco 80cm Star Light BR silkado 
1101802;Dep.  80CM BG Star Light 2 Vel.  220V
1101807;Kit instalação Depurador Star Light
1101723;Painel frontal Dep.Tokyo Coral Plus 60CM  BR tampo
1101732;Monobloco coifa 90cm inox silkado 
1101739;Dep.  80CM BR Novo Legitimo Biturbo 220V
1101751;Monobloco 80cm dobrado Novo Legitimo Biturbo 
1101772;Monobloco Legitimo Bi turbo 60cm BM silkado 
1101780;Depurador Suggar Legitimo Bi Turbo 80cm BR 220V
1101782;Depurador Suggar Legitimo Bi Turbo 80cm BG 220V
2205006;*Queimador Auxiliar SABAF
2209007;Caixa de Madeira Adega Cannes 39G PT
4801019;Placa posicionadora - Positioning board
4801024;Dipositivo eletrico - Wire fixture
4804002;Elemento botao ZX
1003005;00
1003012;* Etiqueta painel removivel Sluxo NV
1003036;Etiqueta Inmetro Lav. Favorita Plus 127V
1403055;FLAKE- PET 
0502002;Timer LRT 120' 127V
1101824;Painel frontal SENSE 80 BR  tampografado 
1101840;Trava da  manta filtrante Dep. Sirius/Titan
1101847;Embalagens e acessórios Dep.Sirius 60cm
1101853;Monobloco Dep. Sirius/Titan 80cm dobrado 
1101862;Lateral Dir. Dep. Titan /Venus
0504015;Resistencia tubular
0513003;Terminal Femea 6,3 (FF20X)
0601016;Tinta marrom TDC-8700 (2) 
0601017;Tinta marrom TDC-8700 (3) 
0610007;Solvente 7B1 p/ limpeza peça TSL001 
1101275;Sub-conj. motor 127V - 2 polos- 1 velocidade 
1003025;Logotipo Cinza Lavadoras Suggar 
0405002;Cabeacao do Fogao Cook Top 4 queimadores
0501037;Chave quatro posicoes 127V/220V 10/5A
0501044;Interruptor oval BR 3 pinos motor S/Silk
1901006;Manual Instr. termo garantia Dep. POLARIS 
1901025;Manual instr. termo garantia Dep. Biturbo  Exp.( E
0401018;Cabeacao completa Dep. ANTARES
1101177;Painel 80 reto BR 
1101182;Painel CS 80 BM 
1101183;Painel CS 80 BR 
0501010;Interruptor Q/M BG
0501043;Interruptor oval BG Lig/Desl. S/Silk
1101869;Pino da articulacao do Dep. NOVO
0404001;Cabeacao Forno Eletrico
0501019;Boquilha receptaculo E-27 Depurador
0503031;Timer valvula dupla 220V
0504004;Termostato p/ resistencia inferior
0401008;Cabeacao completa Coifa 90cm
1805002;Mesa de Vidro PT p/ Cook Top 4 Queimadores
1101822;Painel frontal SENSE 60 BR tampografado 
1101842;Tampa filtrante 60cm estampada Dep. Sirius/Titan
1101848;Embalagens e acessórios Dep.Sirius 80cm
1901005;Manual Instr. termo garantia Coifa Suggar
1901011;Gabarito fixacao Dep. CLASSIC POWER FISCHER
1901035;*Gabarito fixacao VEGA/ANTARES/N LEGITIMO/STAR LIG
0403002;* Cabeacao completa Sluxo
0404004;Cabeacao FE Easy Clean c/ lampada
0501014;Interruptor Q/M BR
0503006;Conector liga-facil num. 3
0504012;Conector liga-facil 71B
1101710;Embalagens e acessórios Dep.Tokyo  Coral Plus 80CM
1101712;Painel frontal Dep.Tokyo 80CM  BR tampografado 
1101734;Dep.  60CM BR Novo Legitimo Biturbo 127V
1101738;Dep.  80CM BR Novo Legitimo Biturbo 127V
1101748;Monobloco  80cm BR pintado Novo Legitimo Biturbo 
1101756;Conj. tampa filtrante 60cm BR Star Light / NV Leg.
1101766;Trava da  manta filtrante Star Light/NV. Legitimo
1101769;Caracol direito Sirius/Titan
1403057;San Verde 
1501010;Saco plastico PEAD 850 x 750 x 0,03mm
1501011;Saco plastico PEAD 1050 x 750 x 0,03mm
1501022;Protetor da Coifa 60cm (EPS) 
1101041;Tampa filtrante 60 MB 
1101110;Embalagens e acessorios Depurador 80
1101270;Lateral esq. VEGA estampada 
1904002;Manual Instr. termo garantia Forno a gas 
1001002;Etiqueta rigida SL fundo cz/silk prata
5152298;"Chapa Aço # 1/2"""
1001004;Logotipo rigido fundo cz/silk prata 
1001009;Etiqueta biturbo
1001010;Logotipo rigido NV fundo cz/silk prata 
1003007;Etiqueta painel Luxo policarbonato
1903019;Manual Instrucao  Lav.MK TECH TOP 4.3 
1101181;Painel CS 60 MB 
1101251;Caracol direito Polaris/Antares
1101257;Embalagens e acessorios Dep. VEGA 80cm
1101273;Painel frontal VEGA 80cm BR 
1955002;Instrucao de uso expositor coifa
2203003;Correia em V 3L - 390 
0909008;Isolamento Fundo (menor) da Caixa Adega 39G 509 x
0909012;PUR ecopoly L40H 
0909013;Gaxeta de vedação da porta  Adega 19G (455 PR)
1003019;Etiqueta painel lavadora Lavamax Super
1901031;Manual Instrucao Dep. ANTARES
1901036;Gabarito fixacao coifa 60/90cm
1902004;Gabarito fixacao Secadora Exp.(Espanhol)
1101017;Caracol plastico
1101178;Painel 80 reto MB 
1101260;Depurador Suggar Antares 80cm BG 127V C/Lum.
1101809;Conj. Tampa Filtrante 60cm Dep. Venus/Titan BR
1903002;* Manual Instr. termo garantia Tourb. Sluxo
1001023;Logotipo resinado Coifa  60/90cm TOKYO 
1003029;Etiqueta painel Lav.Predileta  Plus c/esfregador
1003037;Etiqueta Inmetro Lav. Favorita Plus 220V
1003039;Etiqueta Inmetro Lav. Lavamax 220V
1901032;Manual Instrucao Dep. CLASSIC POWER FISCHER 
1902002;Manual Instr. termo garantia Secadora Exp.(Espanho
2109001;Evaporador da Adega 19G
2203002;Correia em V 3L - 340
2205015;Espalhador Auxiliar # 4,00mm
1101036;Componentes para tela filtrante 80
1101125;Monobloco Depurador SL 80 BM 
1101258;Depurador Suggar Antares 80cm BR 127V C/Lum.
1003028;Etiqueta painel Lav. Predileta  Super
4845026;Conjunto do aquecedor de vapor 220V p/ PV6282PR
4845027;Termostato Bivolt p/ PV6281PR
5351017;Receituario - servico medico - (50x1)
5351018;Controle de telefonemas (100x1)
5351019;Relatorio diario de promocao (50x1) 
5351020;Proposta de emprego (50x1) 
5351022;Pedido de exames (50x1)
5351023;Nota Fiscal 4 vias autocopiativa (280x305)
5351024;Solicitacao de transportes (50x1)
5351025;Contrato particular de transportes (100x1)
5351027;Concurso de incentivo a vendas (25x1)
5351032;Desligamento de pessoal
5351033;Pedido de pecas (50x1) 
5351034;Etiqueta cont. mov. materia prima
5351035;Etiqueta cont. mov. material reciclado
5351036;Etiqueta identificacao estoque DTM
5351037;Envelope oficio timbrado branco
5351038;Envelope 1/2 oficio timbrado branco
4840018;Rolamento da bandeja giratoria da Batedeira
4840019;Placa interna da bandeja giratoria da Batmax
4840020;Tampa da bandeja giratoria da Batedeira Batmax
4840021;Parafuso aa cab.flang/ph 3,0 x 8,0 da bandeja gira
4840022;Tigela da Batedeira Batmax BR
4840023;Base da batedeira p/ Batedeiras Batmax/Giromix
4840024;Placa fixadora da cabeação das Batedeiras
4845042;Conjunto da mangueira / PV6281/82PR
4845043;Bocal de vapor p/ PV6281/82PR
4845044;Mangueira p/ PV6281/82PR
4845045;Alca de borracha p/ PV6281/82PR
4845046;Alca esquerda p/ PV6281/82PR
5352003;Cartucho Color Epson S020036
5352004;Cartucho Preto  Epson S020034
5352005;Fita p/ Impressora Okidata ML 321-T
5352006;Mouse p/ Computador Serial Optico c/ scroll 
5352007;Cartucho Preto 5.1645A
5352008;Cartucho Color 5.1641A
4843032;Suporte do motor do Juicer
4843033;Bucha de Silicone do suporte do motor do Juicer
4843034;Parafuso aa.cab.esc/ph 3,8 x 6 inox
4843035;Conector plástico 2P do Juicer
4843036;Arruela Suporte Motor 14,5x8,0x1,0
4843037;Cabo Azul 2x105mm c/ conector fauston do Juicer
4845001;Parte Esquerda da carcaca  p/ PV5181/82BR 
4845002;Aquecedor de vapor 127V  p/ PV5181BR 
4845003;Aquecedor de vapor 220V  p/ PV5182BR
5050113;Calça jeans c/ botão masculina n 38 
5050114;Calça jeans c/ botão masculina n 40 
5050115;Calça jeans c/ botão masculina n 42 
5050116;Calca jeans c/ botao masculina n 44 
4822080;Cabo de freio (AD-45)
4822081;Pino de fixação do cabo freio (AD-45)
4822082;Pino de fixação central (AD-45)
4822083;Chapa de fixação do cabo freio (AD-45)
4822084;Gabinete intermediario (AD-45)
4828034;Protecao de arame do pao - bread guard wire 
4828035;Mola retratil - retractable spring 
4828036;"""Ilhos A - eyeleyA"""" """""""
